Title,Genre,Rating,Year
Inception,Sci-Fi,8.8,2010
Interstellar,Sci-Fi,8.6,2014
Tenet,Sci-Fi,7.4,2020
The Dark Knight,Action,9.0,2008
Dunkirk,War,7.9,2017
Oppenheimer,Biography,8.7,2023
Batman Begins,Action,8.2,2005
Following,Thriller,7.5,1998
